"rgn_id","level","label"
2,"r2","Northern Europe"
11,"r2","Northern Europe"
5,"r2","Northern Europe"
4,"r2","Northern Europe"
3,"r2","Northern Europe"
14,"r2","Northern Europe"
7,"r2","Northern Europe"
1,"r2","Northern Europe"
8,"r2","Northern Europe"
9,"r2","Northern Europe"
10,"r2","Northern Europe"
13,"r2","Northern Europe"
12,"r2","Northern Europe"
6,"r2","Northern Europe"
2,"r1","Europe"
11,"r1","Europe"
5,"r1","Europe"
4,"r1","Europe"
3,"r1","Europe"
14,"r1","Europe"
7,"r1","Europe"
1,"r1","Europe"
8,"r1","Europe"
9,"r1","Europe"
10,"r1","Europe"
13,"r1","Europe"
12,"r1","Europe"
6,"r1","Europe"
2,"r0","World"
11,"r0","World"
5,"r0","World"
4,"r0","World"
3,"r0","World"
14,"r0","World"
7,"r0","World"
1,"r0","World"
8,"r0","World"
9,"r0","World"
10,"r0","World"
13,"r0","World"
12,"r0","World"
6,"r0","World"
