"rgn_id","habitat","km2"
2,"saltmarsh",29.3
11,"saltmarsh",29.3
5,"saltmarsh",29.3
4,"saltmarsh",29.3
3,"saltmarsh",29.3
14,"saltmarsh",29.3
7,"saltmarsh",29.3
1,"saltmarsh",29.3
8,"saltmarsh",29.3
9,"saltmarsh",29.3
10,"saltmarsh",29.3
13,"saltmarsh",29.3
12,"saltmarsh",29.3
6,"saltmarsh",29.3
2,"seagrass",8.73251
11,"seagrass",8.73251
5,"seagrass",8.73251
4,"seagrass",8.73251
3,"seagrass",8.73251
14,"seagrass",8.73251
7,"seagrass",8.73251
1,"seagrass",8.73251
8,"seagrass",8.73251
9,"seagrass",8.73251
10,"seagrass",8.73251
13,"seagrass",8.73251
12,"seagrass",8.73251
6,"seagrass",8.73251
