"rgn_id","species_code","year","tonnes"
2,853,2003,0
11,853,2003,0
5,853,2003,0
4,853,2003,0
3,853,2003,0
14,853,2003,0
7,853,2003,0
1,853,2003,0
8,853,2003,0
9,853,2003,0
10,853,2003,0
13,853,2003,0
12,853,2003,0
6,853,2003,0
2,853,2004,0
11,853,2004,0
5,853,2004,0
4,853,2004,0
3,853,2004,0
14,853,2004,0
7,853,2004,0
1,853,2004,0
8,853,2004,0
9,853,2004,0
10,853,2004,0
13,853,2004,0
12,853,2004,0
6,853,2004,0
2,853,2005,0
11,853,2005,0
5,853,2005,0
4,853,2005,0
3,853,2005,0
14,853,2005,0
7,853,2005,0
1,853,2005,0
8,853,2005,0
9,853,2005,0
10,853,2005,0
13,853,2005,0
12,853,2005,0
6,853,2005,0
2,853,2006,0
11,853,2006,0
5,853,2006,0
4,853,2006,0
3,853,2006,0
14,853,2006,0
7,853,2006,0
1,853,2006,0
8,853,2006,0
9,853,2006,0
10,853,2006,0
13,853,2006,0
12,853,2006,0
6,853,2006,0
2,853,2007,0
11,853,2007,0
5,853,2007,0
4,853,2007,0
3,853,2007,0
14,853,2007,0
7,853,2007,0
1,853,2007,0
8,853,2007,0
9,853,2007,0
10,853,2007,0
13,853,2007,0
12,853,2007,0
6,853,2007,0
2,853,2008,0
11,853,2008,0
5,853,2008,0
4,853,2008,0
3,853,2008,0
14,853,2008,0
7,853,2008,0
1,853,2008,0
8,853,2008,0
9,853,2008,0
10,853,2008,0
13,853,2008,0
12,853,2008,0
6,853,2008,0
2,853,2009,0
11,853,2009,0
5,853,2009,0
4,853,2009,0
3,853,2009,0
14,853,2009,0
7,853,2009,0
1,853,2009,0
8,853,2009,0
9,853,2009,0
10,853,2009,0
13,853,2009,0
12,853,2009,0
6,853,2009,0
2,853,2010,0
11,853,2010,0
5,853,2010,0
4,853,2010,0
3,853,2010,0
14,853,2010,0
7,853,2010,0
1,853,2010,0
8,853,2010,0
9,853,2010,0
10,853,2010,0
13,853,2010,0
12,853,2010,0
6,853,2010,0
2,853,2011,0
11,853,2011,0
5,853,2011,0
4,853,2011,0
3,853,2011,0
14,853,2011,0
7,853,2011,0
1,853,2011,0
8,853,2011,0
9,853,2011,0
10,853,2011,0
13,853,2011,0
12,853,2011,0
6,853,2011,0
2,853,2012,0
11,853,2012,0
5,853,2012,0
4,853,2012,0
3,853,2012,0
14,853,2012,0
7,853,2012,0
1,853,2012,0
8,853,2012,0
9,853,2012,0
10,853,2012,0
13,853,2012,0
12,853,2012,0
6,853,2012,0
2,854,2003,1742
11,854,2003,1742
5,854,2003,1742
4,854,2003,1742
3,854,2003,1742
14,854,2003,1742
7,854,2003,1742
1,854,2003,1742
8,854,2003,1742
9,854,2003,1742
10,854,2003,1742
13,854,2003,1742
12,854,2003,1742
6,854,2003,1742
2,854,2004,1435
11,854,2004,1435
5,854,2004,1435
4,854,2004,1435
3,854,2004,1435
14,854,2004,1435
7,854,2004,1435
1,854,2004,1435
8,854,2004,1435
9,854,2004,1435
10,854,2004,1435
13,854,2004,1435
12,854,2004,1435
6,854,2004,1435
2,854,2005,1069
11,854,2005,1069
5,854,2005,1069
4,854,2005,1069
3,854,2005,1069
14,854,2005,1069
7,854,2005,1069
1,854,2005,1069
8,854,2005,1069
9,854,2005,1069
10,854,2005,1069
13,854,2005,1069
12,854,2005,1069
6,854,2005,1069
2,854,2006,1791
11,854,2006,1791
5,854,2006,1791
4,854,2006,1791
3,854,2006,1791
14,854,2006,1791
7,854,2006,1791
1,854,2006,1791
8,854,2006,1791
9,854,2006,1791
10,854,2006,1791
13,854,2006,1791
12,854,2006,1791
6,854,2006,1791
2,854,2007,1168
11,854,2007,1168
5,854,2007,1168
4,854,2007,1168
3,854,2007,1168
14,854,2007,1168
7,854,2007,1168
1,854,2007,1168
8,854,2007,1168
9,854,2007,1168
10,854,2007,1168
13,854,2007,1168
12,854,2007,1168
6,854,2007,1168
2,854,2008,1911
11,854,2008,1911
5,854,2008,1911
4,854,2008,1911
3,854,2008,1911
14,854,2008,1911
7,854,2008,1911
1,854,2008,1911
8,854,2008,1911
9,854,2008,1911
10,854,2008,1911
13,854,2008,1911
12,854,2008,1911
6,854,2008,1911
2,854,2009,2125
11,854,2009,2125
5,854,2009,2125
4,854,2009,2125
3,854,2009,2125
14,854,2009,2125
7,854,2009,2125
1,854,2009,2125
8,854,2009,2125
9,854,2009,2125
10,854,2009,2125
13,854,2009,2125
12,854,2009,2125
6,854,2009,2125
2,854,2010,1382
11,854,2010,1382
5,854,2010,1382
4,854,2010,1382
3,854,2010,1382
14,854,2010,1382
7,854,2010,1382
1,854,2010,1382
8,854,2010,1382
9,854,2010,1382
10,854,2010,1382
13,854,2010,1382
12,854,2010,1382
6,854,2010,1382
2,854,2011,1470
11,854,2011,1470
5,854,2011,1470
4,854,2011,1470
3,854,2011,1470
14,854,2011,1470
7,854,2011,1470
1,854,2011,1470
8,854,2011,1470
9,854,2011,1470
10,854,2011,1470
13,854,2011,1470
12,854,2011,1470
6,854,2011,1470
2,854,2012,1308
11,854,2012,1308
5,854,2012,1308
4,854,2012,1308
3,854,2012,1308
14,854,2012,1308
7,854,2012,1308
1,854,2012,1308
8,854,2012,1308
9,854,2012,1308
10,854,2012,1308
13,854,2012,1308
12,854,2012,1308
6,854,2012,1308
2,855,2003,0
11,855,2003,0
5,855,2003,0
4,855,2003,0
3,855,2003,0
14,855,2003,0
7,855,2003,0
1,855,2003,0
8,855,2003,0
9,855,2003,0
10,855,2003,0
13,855,2003,0
12,855,2003,0
6,855,2003,0
2,855,2004,0
11,855,2004,0
5,855,2004,0
4,855,2004,0
3,855,2004,0
14,855,2004,0
7,855,2004,0
1,855,2004,0
8,855,2004,0
9,855,2004,0
10,855,2004,0
13,855,2004,0
12,855,2004,0
6,855,2004,0
2,855,2005,0
11,855,2005,0
5,855,2005,0
4,855,2005,0
3,855,2005,0
14,855,2005,0
7,855,2005,0
1,855,2005,0
8,855,2005,0
9,855,2005,0
10,855,2005,0
13,855,2005,0
12,855,2005,0
6,855,2005,0
2,855,2006,0
11,855,2006,0
5,855,2006,0
4,855,2006,0
3,855,2006,0
14,855,2006,0
7,855,2006,0
1,855,2006,0
8,855,2006,0
9,855,2006,0
10,855,2006,0
13,855,2006,0
12,855,2006,0
6,855,2006,0
2,855,2007,0
11,855,2007,0
5,855,2007,0
4,855,2007,0
3,855,2007,0
14,855,2007,0
7,855,2007,0
1,855,2007,0
8,855,2007,0
9,855,2007,0
10,855,2007,0
13,855,2007,0
12,855,2007,0
6,855,2007,0
2,855,2008,0
11,855,2008,0
5,855,2008,0
4,855,2008,0
3,855,2008,0
14,855,2008,0
7,855,2008,0
1,855,2008,0
8,855,2008,0
9,855,2008,0
10,855,2008,0
13,855,2008,0
12,855,2008,0
6,855,2008,0
2,855,2009,0
11,855,2009,0
5,855,2009,0
4,855,2009,0
3,855,2009,0
14,855,2009,0
7,855,2009,0
1,855,2009,0
8,855,2009,0
9,855,2009,0
10,855,2009,0
13,855,2009,0
12,855,2009,0
6,855,2009,0
2,855,2010,0
11,855,2010,0
5,855,2010,0
4,855,2010,0
3,855,2010,0
14,855,2010,0
7,855,2010,0
1,855,2010,0
8,855,2010,0
9,855,2010,0
10,855,2010,0
13,855,2010,0
12,855,2010,0
6,855,2010,0
2,855,2011,0
11,855,2011,0
5,855,2011,0
4,855,2011,0
3,855,2011,0
14,855,2011,0
7,855,2011,0
1,855,2011,0
8,855,2011,0
9,855,2011,0
10,855,2011,0
13,855,2011,0
12,855,2011,0
6,855,2011,0
2,855,2012,0
11,855,2012,0
5,855,2012,0
4,855,2012,0
3,855,2012,0
14,855,2012,0
7,855,2012,0
1,855,2012,0
8,855,2012,0
9,855,2012,0
10,855,2012,0
13,855,2012,0
12,855,2012,0
6,855,2012,0
2,856,2003,1060
11,856,2003,1060
5,856,2003,1060
4,856,2003,1060
3,856,2003,1060
14,856,2003,1060
7,856,2003,1060
1,856,2003,1060
8,856,2003,1060
9,856,2003,1060
10,856,2003,1060
13,856,2003,1060
12,856,2003,1060
6,856,2003,1060
2,856,2004,1316
11,856,2004,1316
5,856,2004,1316
4,856,2004,1316
3,856,2004,1316
14,856,2004,1316
7,856,2004,1316
1,856,2004,1316
8,856,2004,1316
9,856,2004,1316
10,856,2004,1316
13,856,2004,1316
12,856,2004,1316
6,856,2004,1316
2,856,2005,1475
11,856,2005,1475
5,856,2005,1475
4,856,2005,1475
3,856,2005,1475
14,856,2005,1475
7,856,2005,1475
1,856,2005,1475
8,856,2005,1475
9,856,2005,1475
10,856,2005,1475
13,856,2005,1475
12,856,2005,1475
6,856,2005,1475
2,856,2006,1503
11,856,2006,1503
5,856,2006,1503
4,856,2006,1503
3,856,2006,1503
14,856,2006,1503
7,856,2006,1503
1,856,2006,1503
8,856,2006,1503
9,856,2006,1503
10,856,2006,1503
13,856,2006,1503
12,856,2006,1503
6,856,2006,1503
2,856,2007,1480
11,856,2007,1480
5,856,2007,1480
4,856,2007,1480
3,856,2007,1480
14,856,2007,1480
7,856,2007,1480
1,856,2007,1480
8,856,2007,1480
9,856,2007,1480
10,856,2007,1480
13,856,2007,1480
12,856,2007,1480
6,856,2007,1480
2,856,2008,1668
11,856,2008,1668
5,856,2008,1668
4,856,2008,1668
3,856,2008,1668
14,856,2008,1668
7,856,2008,1668
1,856,2008,1668
8,856,2008,1668
9,856,2008,1668
10,856,2008,1668
13,856,2008,1668
12,856,2008,1668
6,856,2008,1668
2,856,2009,2431
11,856,2009,2431
5,856,2009,2431
4,856,2009,2431
3,856,2009,2431
14,856,2009,2431
7,856,2009,2431
1,856,2009,2431
8,856,2009,2431
9,856,2009,2431
10,856,2009,2431
13,856,2009,2431
12,856,2009,2431
6,856,2009,2431
2,856,2010,2283
11,856,2010,2283
5,856,2010,2283
4,856,2010,2283
3,856,2010,2283
14,856,2010,2283
7,856,2010,2283
1,856,2010,2283
8,856,2010,2283
9,856,2010,2283
10,856,2010,2283
13,856,2010,2283
12,856,2010,2283
6,856,2010,2283
2,856,2011,3255
11,856,2011,3255
5,856,2011,3255
4,856,2011,3255
3,856,2011,3255
14,856,2011,3255
7,856,2011,3255
1,856,2011,3255
8,856,2011,3255
9,856,2011,3255
10,856,2011,3255
13,856,2011,3255
12,856,2011,3255
6,856,2011,3255
2,856,2012,3051
11,856,2012,3051
5,856,2012,3051
4,856,2012,3051
3,856,2012,3051
14,856,2012,3051
7,856,2012,3051
1,856,2012,3051
8,856,2012,3051
9,856,2012,3051
10,856,2012,3051
13,856,2012,3051
12,856,2012,3051
6,856,2012,3051
