"rgn_id","species","sust_coeff"
2,"Atlantic salmon",0.53
11,"Atlantic salmon",0.53
5,"Atlantic salmon",0.53
4,"Atlantic salmon",0.53
3,"Atlantic salmon",0.53
14,"Atlantic salmon",0.53
7,"Atlantic salmon",0.53
1,"Atlantic salmon",0.53
8,"Atlantic salmon",0.53
9,"Atlantic salmon",0.53
10,"Atlantic salmon",0.53
13,"Atlantic salmon",0.53
12,"Atlantic salmon",0.53
6,"Atlantic salmon",0.53
2,"Blue mussel",0.77
11,"Blue mussel",0.77
5,"Blue mussel",0.77
4,"Blue mussel",0.77
3,"Blue mussel",0.77
14,"Blue mussel",0.77
7,"Blue mussel",0.77
1,"Blue mussel",0.77
8,"Blue mussel",0.77
9,"Blue mussel",0.77
10,"Blue mussel",0.77
13,"Blue mussel",0.77
12,"Blue mussel",0.77
6,"Blue mussel",0.77
2,"European flat oyster",0.87
11,"European flat oyster",0.87
5,"European flat oyster",0.87
4,"European flat oyster",0.87
3,"European flat oyster",0.87
14,"European flat oyster",0.87
7,"European flat oyster",0.87
1,"European flat oyster",0.87
8,"European flat oyster",0.87
9,"European flat oyster",0.87
10,"European flat oyster",0.87
13,"European flat oyster",0.87
12,"European flat oyster",0.87
6,"European flat oyster",0.87
2,"Rainbow trout",0.53
11,"Rainbow trout",0.53
5,"Rainbow trout",0.53
4,"Rainbow trout",0.53
3,"Rainbow trout",0.53
14,"Rainbow trout",0.53
7,"Rainbow trout",0.53
1,"Rainbow trout",0.53
8,"Rainbow trout",0.53
9,"Rainbow trout",0.53
10,"Rainbow trout",0.53
13,"Rainbow trout",0.53
12,"Rainbow trout",0.53
6,"Rainbow trout",0.53
