"sector","value","cntry_key"
"cf",13846.4101372961,"SWE"
"ph",12374.0750909923,"SWE"
"sb",15573.6416967459,"SWE"
"tour",32092.8773085396,"SWE"
"tran",54415.7584660831,"SWE"
