"cntry_key","year","usd"
"SWE",1980,10553.49625
"SWE",1981,11505.45423
"SWE",1982,12345.03093
"SWE",1983,13059.67991
"SWE",1984,14116.0979
"SWE",1985,14841.2003
"SWE",1986,15570.90479
"SWE",1987,16526.31227
"SWE",1988,17472.79694
"SWE",1989,18514.55562
"SWE",1990,19275.24201
"SWE",1991,19600.55476
"SWE",1992,19708.60856
"SWE",1993,19612.52378
"SWE",1994,20678.7335
"SWE",1995,21824.32148
"SWE",1996,22645.32337
"SWE",1997,23466.72629
"SWE",1998,24409.4714
"SWE",1999,25976.71077
"SWE",2000,27952.20497
"SWE",2001,28236.67723
"SWE",2002,29277.9114
"SWE",2003,30431.11675
"SWE",2004,32495.25931
"SWE",2005,32702.98278
"SWE",2006,35657.56363
"SWE",2007,38457.20731
"SWE",2008,39614.96699
"SWE",2009,37257.03003
"SWE",2010,39250.66441
"SWE",2011,41453.00737
"SWE",2012,42216.85194
