"cntry_key","year","jobs"
"SWE",1990,"4684907.04424463"
"SWE",1991,"4679784.45249904"
"SWE",1992,"4595860.65693492"
"SWE",1993,"4503000.64999859"
"SWE",1994,"4474305.52767671"
"SWE",1995,"4512602.29404159"
"SWE",1996,"4525018.02411575"
"SWE",1997,"4465363.08194799"
"SWE",1998,"4437684.86571128"
"SWE",1999,"4470663.54914241"
"SWE",2000,"4551999.19614044"
"SWE",2001,"4581381.29224899"
"SWE",2002,"4607053.14494906"
"SWE",2003,"4628406.50014407"
"SWE",2004,"4636798.94143292"
"SWE",2005,"4750422.90694152"
"SWE",2006,"4806372.34488171"
"SWE",2007,"4864134.32007774"
"SWE",2008,"4914929.28634719"
"SWE",2009,"4926876.61036826"
"SWE",2010,"4972086.94022508"
"SWE",2011,"5038025.96402515"
"SWE",2012,"5080956.08719029"
