"rgn_id","year","popsum"
1,2005,980696.633250639
2,2005,129475.48212554
3,2005,179188.939235465
4,2005,237564.531079707
5,2005,55951.8193843045
6,2005,908779.535950075
7,2005,163974.28121936
8,2005,100870.341171137
9,2005,2135417.16027417
10,2005,57452.5999859085
11,2005,135985.499965612
12,2005,112076.674805565
13,2005,119261.100201791
14,2005,122607.971667661
1,2006,853331.913468046
2,2006,112811.713314325
3,2006,155140.383796012
4,2006,207161.877226324
5,2006,48577.5973094718
6,2006,794076.596225841
7,2006,143402.948537559
8,2006,86275.2808516633
9,2006,1860713.08645998
10,2006,49914.0609691939
11,2006,117951.844506409
12,2006,96892.4255968601
13,2006,103926.034100295
14,2006,106829.833532287
1,2007,854377.893779969
2,2007,112089.587111472
3,2007,154122.413033152
4,2007,207557.625944072
5,2007,48295.2098918361
6,2007,795558.210539738
7,2007,142562.61686253
8,2007,85941.3105263313
9,2007,1874013.35174052
10,2007,49626.2649560886
11,2007,117020.75253166
12,2007,95758.2612482444
13,2007,103785.925557771
14,2007,106265.291417879
1,2008,855423.860292111
2,2008,111367.457464294
3,2008,153104.441041322
4,2008,207953.367334374
5,2008,48012.8243237297
6,2008,797039.793237846
7,2008,141722.28973415
8,2008,85607.3427948924
9,2008,1887313.55646878
10,2008,49338.4694655646
11,2008,116089.659557865
12,2008,94624.0942253911
13,2008,103645.80290143
14,2008,105700.750789297
1,2009,856469.830478732
2,2009,110645.32431812
3,2009,152086.466211505
4,2009,208349.110348288
5,2009,47730.4333539174
6,2009,798521.383403562
7,2009,140881.957472102
8,2009,85273.3712244917
9,2009,1900613.73809652
10,2009,49050.6724631969
11,2009,115158.565954637
12,2009,93489.9294724938
13,2009,103505.686772036
14,2009,105136.205659327
1,2010,986775.798994478
2,2010,125350.317757844
3,2010,173373.565803614
4,2010,239826.301101249
5,2010,54334.9466886847
6,2010,917281.291224609
7,2010,159203.437972547
8,2010,98956.087608852
9,2010,2212537.0813415
10,2010,55816.747092236
11,2010,130649.962485031
12,2010,105586.153310655
13,2010,118464.01195976
14,2010,119367.181749596
1,2011,858465.257468974
2,2011,109200.635754045
3,2011,150079.05808428
4,2011,209114.573864372
5,2011,47162.5155876833
6,2011,801372.301378438
7,2011,139197.641944087
8,2011,84603.7527232959
9,2011,1927403.5369309
10,2011,48473.3821512232
11,2011,113319.421643284
12,2011,91278.2607553241
13,2011,103230.737913624
14,2011,104005.43613201
1,2012,859414.72318701
2,2012,108478.078466368
3,2012,149089.625846141
4,2012,209484.29732379
5,2012,46876.9798019248
6,2012,802741.627849351
7,2012,138353.663371312
8,2012,84268.1052921303
9,2012,1940893.13096971
10,2012,48183.8868012634
11,2012,112411.373247547
12,2012,90200.7566181763
13,2012,103095.911277308
14,2012,103439.212682547
1,2013,860364.191179643
2,2013,107755.516683825
3,2013,148100.188146564
4,2013,209854.015708424
5,2013,46591.4463696521
6,2013,804110.951698442
7,2013,137509.673018468
8,2013,83932.4591311356
9,2013,1954382.72020489
10,2013,47894.3914064142
11,2013,111503.32199003
12,2013,89123.2546531543
13,2013,102961.07591207
14,2013,102872.983890152
1,2014,861313.624290658
2,2014,107032.955909768
3,2014,147110.750468776
4,2014,210223.723530556
5,2014,46305.9110076561
6,2014,805480.244024268
7,2014,136665.685122233
8,2014,83596.8113761518
9,2014,1967872.28145669
10,2014,47604.896097956
11,2014,110595.271764874
12,2014,88045.7506974525
13,2014,102826.241555578
14,2014,102306.760890696
1,2015,992300.050810734
2,2015,121223.694301729
3,2015,167719.840961585
4,2015,241937.682474078
5,2015,52700.054288777
6,2015,925137.400075988
7,2015,154412.470895294
8,2015,97031.8858290265
9,2015,2290753.35947078
10,2015,54171.1108582481
11,2015,125446.821434145
12,2015,99420.1439444131
13,2015,117696.927200219
14,2015,116112.586500357
