"rgn_id","year","usd"
1,2002,44873777286.0887
2,2002,5576334671.03484
3,2002,7664356938.92787
4,2002,10952494287.701
5,2002,2412502344.07739
6,2002,41964901122.3488
7,2002,7120177068.92358
8,2002,4355329568.37879
9,2002,102524632137.66
10,2002,2480178468.07702
11,2002,5761928586.88214
12,2002,4587115884.80654
13,2002,5357168089.06933
14,2002,5330103546.02377
1,2004,64744506188.2916
2,2004,8045612748.73389
3,2004,11058240140.9637
4,2004,15802410161.8723
5,2004,3480791731.65145
6,2004,60547539447.9273
7,2004,10273089901.963
8,2004,6283929707.86008
9,2004,147923956514.062
10,2004,3578435778.88998
11,2004,8313390216.1059
12,2004,6618354209.3377
13,2004,7729396174.58933
14,2004,7690347077.7521
1,2005,66262584173.1533
2,2005,8234259914.4572
3,2005,11317525011.5671
4,2005,16172932579.7085
5,2005,3562406583.7648
6,2005,61967210275.3815
7,2005,10513965190.6141
8,2005,6431270322.67886
9,2005,151392360476.624
10,2005,3662340111.41166
11,2005,8508316016.14109
12,2005,6773536145.42342
13,2005,7910628944.12802
14,2005,7870664254.94594
1,2006,71357890446.018
2,2006,8867438905.55864
3,2006,12187793759.8255
4,2006,17416561180.2573
5,2006,3836340249.93934
6,2006,66732220864.2079
7,2006,11322443662.3927
8,2006,6925807208.41219
9,2006,163033778535.186
10,2006,3943958233.85428
11,2006,9162568736.73032
12,2006,7294391793.32667
13,2006,8518922112.65269
14,2006,8475884311.63798
1,2007,82700919082.7289
2,2007,10277004306.2641
3,2007,14125161761.7652
4,2007,20185092466.5085
5,2007,4446163733.27435
6,2007,77339954466.2354
7,2007,13122255875.1322
8,2007,8026731423.04811
9,2007,188949578555.575
10,2007,4570888639.29338
11,2007,10619047885.9449
12,2007,8453906101.86255
13,2007,9873087389.59329
14,2007,9823208312.77406
1,2008,86929007661.0612
2,2008,10802416659.7026
3,2008,14847311355.4386
4,2008,21217056317.1744
5,2008,4673474074.03667
6,2008,81293963463.4066
7,2008,13793131855.7498
8,2008,8437098464.03808
9,2008,198609635104.31
10,2008,4804575547.04458
11,2008,11161947234.3114
12,2008,8886112469.43414
13,2008,10377849470.6901
14,2008,10325420323.6015
1,2009,72557154173.2816
2,2009,9016467944.48752
3,2009,12392625753.599
4,2009,17709269526.1262
5,2009,3900815021.8032
6,2009,67853744096.2144
7,2009,11512732303.2623
8,2009,7042204558.65831
9,2009,165773776812.796
10,2009,4010241668.27394
11,2009,9316557822.81229
12,2009,7416983695.01417
13,2009,8662093865.92665
14,2009,8618332757.74388
1,2010,82770654113.8356
2,2010,10285670077.1277
3,2010,14137072374.1957
4,2010,20202112930.9321
5,2010,4449912825.4209
6,2010,77405169027.2139
7,2010,13133320817.7204
8,2010,8033499719.84191
9,2010,189108904532.654
10,2010,4574742901.91805
11,2010,10628002074.6391
12,2010,8461034600.69334
13,2010,9881412569.81945
14,2010,9831491433.98791
1,2011,96499336045.4848
2,2011,11991693721.0699
3,2011,16481905481.3874
4,2011,23552918669.3352
5,2011,5187993712.39504
6,2011,90243909481.997
7,2011,15311667553.5674
8,2011,9365969103.25429
9,2011,220475287081.725
10,2011,5333528620.01961
11,2011,12390806315.0279
12,2011,9864416682.05085
13,2011,11520384396.9585
14,2011,11462183135.7271
